features,preprocessing,mse,r2
"['rm', 'lstat']",none,29.26450607582157,0.5975588845563893
"['rm', 'lstat']",standard,556.2608411855991,-6.649615982731019
"['rm', 'lstat']",minmax,47.635010247196746,0.34493045574111914
"['rm', 'lstat', 'age']",none,29.43355824130547,0.595234104433013
"['rm', 'lstat', 'age']",standard,557.0645839908179,-6.66066893370938
"['rm', 'lstat', 'age']",minmax,47.7644956937134,0.34314979122572087
"['rm', 'lstat', 'age', 'tax']",none,28.796224712756693,0.6039986199001198
"['rm', 'lstat', 'age', 'tax']",standard,560.5860989238355,-6.709096280954643
"['rm', 'lstat', 'age', 'tax']",minmax,46.89423366817839,0.35511750458391367
